case_id,faa_ors,faa_asn,usgs_pr_id,eia_id,t_state,t_county,t_fips,p_name,p_year,p_tnum,p_cap,t_manu,t_model,t_cap,t_hh,t_rd,t_rsa,t_ttlh,retrofit,retrofit_year,t_conf_atr,t_conf_loc,t_img_date,t_img_srce,xlong,ylat
3123442,48-194007,2021-WTW-4861-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,8/29/2022,Digital Globe,-101.452225,36.321106
3124141,48-192889,2021-WTW-4765-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,10/3/2022,Digital Globe,-101.457855,36.285931
3124063,48-193230,2021-WTW-4813-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,10/3/2022,Digital Globe,-101.485802,36.359554
3123845,48-193227,2021-WTW-4703-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,9/4/2022,Digital Globe,-101.521706,36.359604
3123571,48-194002,2021-WTW-4843-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,8/29/2022,Digital Globe,-101.392006,36.343418
3123986,48-193151,2021-WTW-4797-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,10/3/2022,Digital Globe,-101.504112,36.386364
3124991,,2021-WTW-4616-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,9/4/2022,Digital Globe,-101.583389,36.428116
3123598,48-192874,2021-WTW-4699-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,9/4/2022,Digital Globe,-101.51194,36.368382
3125458,,2021-WTW-4789-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,8/29/2022,Digital Globe,-101.391563,36.431526
3123539,48-194037,2021-WTW-4827-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,8/29/2022,Digital Globe,-101.393234,36.355911
3123242,48-192877,2021-WTW-4710-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,9/4/2022,Digital Globe,-101.534607,36.338547
3124670,,2021-WTW-4784-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,8/29/2022,Digital Globe,-101.401375,36.450577
3123793,48-194006,2021-WTW-4860-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,10/3/2022,Digital Globe,-101.457787,36.326057
3125207,,2021-WTW-4787-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,8/29/2022,Digital Globe,-101.403542,36.434296
3123653,48-192880,2021-WTW-4714-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,9/4/2022,Digital Globe,-101.561127,36.335018
3124877,,2021-WTW-4645-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,1,2/17/2022,Digital Globe,-101.594139,36.432514
3123396,48-194682,2021-WTW-4687-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,1,2/17/2022,Digital Globe,-101.59404,36.374088
3125197,,2021-WTW-4669-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,9/4/2022,Digital Globe,-101.579308,36.400608
3123853,48-194833,2021-WTW-4823-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,8/29/2022,Digital Globe,-101.422562,36.352219
3119193,48-192693,2021-WTW-4746-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,2/17/2022,Digital Globe,-101.583923,36.283268
3123771,48-193253,2021-WTW-4884-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,8/29/2022,Digital Globe,-101.444412,36.30204
3123872,48-193250,2021-WTW-4871-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,10/3/2022,Digital Globe,-101.457611,36.31184
3123491,48-194571,2021-WTW-4691-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,9/4/2022,Digital Globe,-101.578728,36.368553
3125228,,2021-WTW-4788-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,8/29/2022,Digital Globe,-101.398026,36.431587
3123573,48-193249,2021-WTW-4807-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,10/3/2022,Digital Globe,-101.475616,36.371231
3125340,,2021-WTW-4625-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,1,2/17/2022,Digital Globe,-101.607353,36.419201
3123413,48-194001,2021-WTW-4842-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,8/29/2022,Digital Globe,-101.397957,36.343441
3119746,48-192689,2021-WTW-4740-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,10/3/2022,Digital Globe,-101.488472,36.300266
3125531,,2021-WTW-4563-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,8/29/2022,Digital Globe,-101.490944,36.485058
3123338,48-194036,2021-WTW-4704-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,9/4/2022,Digital Globe,-101.515945,36.359566
3123699,48-194684,2021-WTW-4686-OE,,,TX,Sherman County,48421,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,1,2/17/2022,Digital Globe,-101.624947,36.374084
3124029,48-193247,2021-WTW-4798-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,10/3/2022,Digital Globe,-101.489876,36.386227
3119086,48-192305,2021-WTW-4770-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,2/17/2022,Digital Globe,-101.552666,36.263958
3118925,48-192765,2021-WTW-4722-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,9/4/2022,Digital Globe,-101.579796,36.30899
3119072,48-192336,2021-WTW-4773-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,9/4/2022,Digital Globe,-101.535591,36.261402
3123617,48-193984,2021-WTW-4811-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,8/29/2022,Digital Globe,-101.427307,36.369095
3125465,,2021-WTW-4607-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,1,2/17/2022,Digital Globe,-101.621109,36.438217
3123566,48-192887,2021-WTW-4763-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,10/3/2022,Digital Globe,-101.469513,36.285854
3119528,48-192492,2021-WTW-4751-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,9/4/2022,Digital Globe,-101.553726,36.282955
3123561,48-194005,2021-WTW-4853-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,8/29/2022,Digital Globe,-101.400215,36.33242
3123389,48-193988,2021-WTW-4866-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,8/29/2022,Digital Globe,-101.410339,36.321438
3123380,48-194691,2021-WTW-4880-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,8/29/2022,Digital Globe,-101.379189,36.314388
3125119,,2021-WTW-4603-OE,,,TX,Sherman County,48421,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,1,2/17/2022,Digital Globe,-101.646843,36.439892
3123341,48-194008,2021-WTW-4862-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,8/29/2022,Digital Globe,-101.437675,36.324074
3123466,48-194681,2021-WTW-4681-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,1,2/17/2022,Digital Globe,-101.603889,36.379272
3123634,48-192785,2021-WTW-4728-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,2,2/17/2022,Digital Globe,-101.58445,36.299934
3123629,48-193912,2021-WTW-4888-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,8/29/2022,Digital Globe,-101.42643,36.295189
3123822,48-193993,2021-WTW-4878-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,8/29/2022,Digital Globe,-101.391296,36.315899
3123855,48-194534,2021-WTW-4870-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,10/3/2022,Digital Globe,-101.464355,36.314919
3124000,48-194885,2021-WTW-8263-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,1,2/17/2022,Digital Globe,-101.597061,36.386833
3119134,48-192382,2021-WTW-4775-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,2/17/2022,Digital Globe,-101.522614,36.266949
3125514,,2021-WTW-4571-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,8/29/2022,Digital Globe,-101.444916,36.47945
3119214,48-192337,2021-WTW-4732-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,9/4/2022,Digital Globe,-101.534752,36.297375
3119056,48-192539,2021-WTW-4760-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,10/3/2022,Digital Globe,-101.499763,36.285351
3123584,48-193909,2021-WTW-4886-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,8/29/2022,Digital Globe,-101.432457,36.304611
3124117,48-192780,2021-WTW-4719-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,10/3/2022,Digital Globe,-101.499367,36.326843
3123536,48-193000,2021-WTW-4707-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,10/3/2022,Digital Globe,-101.498802,36.355869
3119543,48-192690,2021-WTW-4743-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,10/3/2022,Digital Globe,-101.467514,36.300808
3125376,,2021-WTW-4613-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,1,9/4/2022,Digital Globe,-101.584259,36.446999
3125004,,2021-WTW-4562-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,8/29/2022,Digital Globe,-101.496605,36.483337
3123445,48-192998,2021-WTW-4700-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,10/3/2022,Digital Globe,-101.50605,36.368137
3119104,48-192766,2021-WTW-4725-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,10/3/2022,Digital Globe,-101.505463,36.311745
3124144,48-193228,2021-WTW-4806-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,10/3/2022,Digital Globe,-101.481384,36.374111
3124794,,2021-WTW-4666-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,9/4/2022,Digital Globe,-101.542862,36.405273
3123421,48-193908,2021-WTW-4804-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,8/29/2022,Digital Globe,-101.445984,36.378654
3123447,48-194881,2021-WTW-4667-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,1,2/17/2022,Digital Globe,-101.607124,36.400173
3124778,,2021-WTW-4623-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,1,2/17/2022,Digital Globe,-101.619095,36.418159
3119041,48-192379,2021-WTW-4754-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,2/17/2022,Digital Globe,-101.536415,36.281666
3123180,48-193876,2021-WTW-4873-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,8/29/2022,Digital Globe,-101.436905,36.311722
3125194,,2021-WTW-4593-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,9/4/2022,Digital Globe,-101.584084,36.459049
3119217,48-192727,2021-WTW-4724-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,2/17/2022,Digital Globe,-101.511154,36.311356
3123751,48-194004,2021-WTW-4852-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,8/29/2022,Digital Globe,-101.44474,36.328857
